country,iso_code,year,population_millions,primary_energy_consumption,electricity_demand,energy_per_capita,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,solar_share_energy,wind_share_energy,carbon_intensity_elec
Algeria,DZA,2024,46.81,760.13,93.84,16237.19,0.24,99.76,0.24,0.22,0.01,632.94
Argentina,ARG,2024,45.7,983.1,161.68,21513.95,14.8,82.58,17.42,0.99,4.04,344.83
Australia,AUS,2024,26.71,1672.11,281.64,62595.04,14.73,85.27,14.73,7.39,4.82,553.83
Austria,AUT,2024,9.12,412.34,71.69,45208.31,43.35,56.65,43.35,5.71,5.58,103.48
Azerbaijan,AZE,2024,10.34,208.15,26.61,20137.39,4.3,95.7,4.3,0.65,0.06,634.34
Bangladesh,BGD,2024,173.56,529.07,111.74,3048.31,1.1,98.9,1.1,0.59,0.04,695.7
Belarus,BLR,2024,9.06,313.66,45.22,34632.57,0.97,86.79,13.21,0.12,0.13,329.55
Belgium,BEL,2024,11.74,644.12,86.35,54870.88,11.45,76.64,23.36,3.28,5.02,126.96
Brazil,BRA,2024,212.0,3919.05,757.31,18486.23,49.62,49.38,50.62,4.55,6.92,106.06
Bulgaria,BGR,2024,6.76,191.79,37.31,28381.64,16.42,63.3,36.7,6.98,1.77,278.85
Canada,CAN,2024,39.74,3886.2,624.36,97784.54,27.16,67.39,32.61,0.6,2.99,185.35
Chile,CHL,2024,19.76,518.73,88.62,26245.26,32.25,67.75,32.25,9.88,5.03,259.87
China,CHN,2024,1419.32,48987.1,10069.88,34514.46,17.47,80.26,19.74,4.22,5.02,555.4
Colombia,COL,2024,52.89,615.89,89.14,11645.49,26.09,73.91,26.09,1.33,0.06,298.3
Croatia,HRV,2024,3.88,103.14,19.65,26615.49,27.78,72.22,27.78,1.96,6.44,170.7
Cyprus,CYP,2024,1.36,33.35,5.79,24551.2,10.8,89.2,10.8,7.91,1.49,511.23
Czechia,CZE,2024,10.74,392.82,66.15,36589.77,9.75,71.69,28.31,2.24,0.44,414.23
Denmark,DNK,2024,5.98,196.25,38.77,32832.46,41.72,58.28,41.72,4.94,26.09,131.77
Ecuador,ECU,2024,18.14,230.72,33.36,12722.08,25.36,74.64,25.36,0.04,0.24,203.61
Egypt,EGY,2024,116.54,1125.86,235.99,9660.86,5.78,94.22,5.78,1.32,1.33,574.5
Estonia,EST,2024,1.36,55.76,9.18,40986.3,17.95,82.05,17.95,4.96,4.62,343.45
Finland,FIN,2024,5.62,334.59,85.73,59564.75,38.89,36.77,63.23,0.96,15.4,66.63
France,FRA,2024,66.55,2519.9,471.8,37865.61,16.47,46.14,53.86,2.28,4.63,40.48
Germany,DEU,2024,84.55,3195.44,522.26,37792.51,23.97,76.03,23.97,5.73,10.73,336.38
Greece,GRC,2024,10.05,321.19,56.77,31965.84,21.05,78.95,21.05,7.81,9.18,321.65
Hong Kong,HKG,2024,7.41,272.93,48.81,36808.55,1.05,98.95,1.05,0.29,0.0,675.48
Hungary,HUN,2024,9.68,260.79,48.73,26952.05,12.71,72.18,27.82,8.47,0.62,184.47
Iceland,ISL,2024,0.39,62.82,19.05,159676.39,80.5,19.5,80.5,0.0,0.05,27.82
India,IND,2024,1450.94,11336.06,2034.22,7812.93,9.15,89.67,10.33,2.96,1.76,705.4
Indonesia,IDN,2024,283.49,2984.73,372.5,10528.6,10.95,89.05,10.95,0.08,0.04,680.25
Iran,IRN,2024,91.57,3589.79,393.39,39203.61,1.43,98.07,1.93,0.06,0.08,648.68
Iraq,IRQ,2024,46.04,736.78,156.83,16002.36,0.58,99.42,0.58,0.13,0.0,683.1
Ireland,IRL,2024,5.26,181.79,36.14,34593.98,22.18,77.82,22.18,1.52,15.77,270.91
Israel,ISR,2024,9.39,277.77,74.0,29591.32,9.79,90.21,9.79,8.96,0.35,540.55
Italy,ITA,2024,59.34,1696.29,318.56,28584.52,20.93,79.07,20.93,5.25,3.24,281.4
Japan,JPN,2024,123.75,4794.82,1016.39,38745.04,12.7,82.95,17.05,4.95,0.59,483.43
Kazakhstan,KAZ,2024,20.59,862.11,120.92,41865.2,5.12,94.88,5.12,0.53,1.39,802.04
