country,year,renewables_share_energy,fossil_share_energy,carbon_intensity_elec,electricity_demand
France,2000,6.41,56.16,79.77,463.08
France,2001,7.07,55.48,68.63,474.21
France,2002,5.88,55.28,75.21,474.21
France,2003,5.67,55.76,80.86,492.72
France,2004,5.68,55.69,77.19,504.39
France,2005,5.12,55.95,85.53,508.81
France,2006,5.7,55.38,76.57,503.96
France,2007,6.36,55.19,80.11,505.03
France,2008,7.32,54.63,76.03,518.99
France,2009,7.41,55.19,75.6,502.94
France,2010,7.88,54.46,78.56,531.65
France,2011,6.93,53.03,74.62,511.24
France,2012,8.71,52.93,77.59,523.06
France,2013,9.86,52.58,76.29,528.29
France,2014,9.88,49.86,52.22,499.12
France,2015,9.57,50.69,59.17,510.08
France,2016,10.36,52.51,68.62,517.34
France,2017,9.8,53.59,78.31,515.61
France,2018,11.51,51.17,59.92,513.27
France,2019,11.75,51.57,59.79,507.85
France,2020,13.97,49.74,59.08,482.21
France,2021,12.91,50.61,59.8,505.42
France,2022,13.73,54.47,78.54,483.39
France,2023,15.87,49.29,53.26,468.28
France,2024,16.47,46.14,40.48,471.8
Germany,2000,2.74,85.4,573.16,572.01
Germany,2001,2.8,85.51,565.48,582.6
Germany,2002,3.37,85.33,569.62,593.76
Germany,2003,3.48,85.26,570.01,598.76
Germany,2004,4.32,84.34,554.71,606.98
Germany,2005,4.99,83.89,546.3,608.77
Germany,2006,5.8,83.13,536.21,613.22
Germany,2007,7.37,82.98,551.81,614.54
Germany,2008,7.52,82.44,525.41,612.19
Germany,2009,8.15,82.21,521.55,575.69
Germany,2010,8.47,81.96,516.65,609.26
Germany,2011,10.17,82.25,529.67,601.23
Germany,2012,11.46,81.68,534.16,599.27
Germany,2013,11.6,81.92,538.04,597.5
Germany,2014,12.84,80.45,521.68,584.87
Germany,2015,14.32,79.49,503.59,590.89
Germany,2016,14.1,80.32,498.3,591.0
Germany,2017,15.39,79.74,469.71,592.0
Germany,2018,16.26,78.78,454.55,583.54
Germany,2019,17.81,77.19,392.51,567.42
Germany,2020,20.02,75.39,355.61,547.72
Germany,2021,18.08,77.14,394.64,560.25
Germany,2022,20.33,77.18,419.74,539.62
Germany,2023,23.6,75.84,362.92,515.94
Germany,2024,23.97,76.03,336.38,522.26
Portugal,2000,12.41,87.59,546.17,44.14
Portugal,2001,14.86,85.14,506.95,46.3
Portugal,2002,9.23,90.77,592.54,47.45
Portugal,2003,16.16,83.84,485.23,49.18
Portugal,2004,11.47,88.53,541.18,51.16
Portugal,2005,7.7,92.3,595.31,52.83
Portugal,2006,14.81,85.19,503.93,53.84
Portugal,2007,15.44,84.56,472.28,54.2
Portugal,2008,14.55,85.45,471.55,54.77
Portugal,2009,18.13,81.87,452.82,54.16
Portugal,2010,26.4,73.6,317.13,56.1
Portugal,2011,23.66,76.34,375.05,54.59
Portugal,2012,20.97,79.03,441.24,53.33
Portugal,2013,28.2,71.8,340.42,53.13
Portugal,2014,29.76,70.24,325.68,52.7
Portugal,2015,23.68,76.32,413.96,53.41
Portugal,2016,28.27,71.73,343.61,53.96
Portugal,2017,20.61,79.39,433.76,54.91
Portugal,2018,26.2,73.8,358.7,55.69
Portugal,2019,25.37,74.63,300.97,55.0
Portugal,2020,30.63,69.37,248.3,52.85
Portugal,2021,32.2,67.8,210.48,53.97
Portugal,2022,28.75,71.25,225.34,55.58
Portugal,2023,34.67,65.33,158.43,56.37
Portugal,2024,39.74,60.26,110.64,57.74
Spain,2000,6.6,82.0,470.89,225.36
Spain,2001,8.71,80.12,422.49,236.52
Spain,2002,6.02,83.23,481.89,245.24
Spain,2003,9.21,80.77,429.23,258.56
Spain,2004,8.02,82.03,449.12,273.58
Spain,2005,6.44,84.77,475.06,288.12
Spain,2006,7.93,82.99,432.76,292.31
Spain,2007,8.87,83.06,438.85,296.11
Spain,2008,9.97,81.19,390.23,298.75
Spain,2009,12.91,78.63,355.02,282.62
Spain,2010,16.49,73.92,288.25,289.47
Spain,2011,15.33,75.57,337.28,285.45
Spain,2012,15.92,74.37,351.11,282.75
Spain,2013,19.29,71.39,286.86,274.71
Spain,2014,19.45,71.05,288.99,271.03
Spain,2015,16.98,73.69,328.5,277.04
Spain,2016,18.12,72.46,282.93,278.37
Spain,2017,15.32,75.52,329.17,281.55
Spain,2018,17.92,73.46,290.86,282.5
Spain,2019,17.06,73.72,246.67,277.38
Spain,2020,21.93,67.81,199.1,262.75
Spain,2021,22.27,68.5,193.54,271.6
Spain,2022,20.88,69.96,217.13,267.35
Spain,2023,24.82,66.2,169.68,265.15
Spain,2024,25.86,65.8,146.22,270.71
World,2000,7.43,86.04,527.26,15278.78
World,2001,7.18,86.21,529.25,15500.83
World,2002,7.19,86.29,532.3,16049.89
World,2003,6.98,86.89,544.55,16628.01
World,2004,7.15,86.77,539.43,17414.99
World,2005,7.19,86.96,543.38,18134.08
World,2006,7.34,86.93,546.4,18838.99
World,2007,7.38,87.2,554.66,19713.96
World,2008,7.85,86.85,547.7,20102.64
World,2009,8.16,86.56,543.49,19943.51
World,2010,8.37,86.51,543.85,21263.75
World,2011,8.55,86.68,550.21,21972.03
World,2012,8.96,86.68,548.14,22515.66
World,2013,9.37,86.35,548.36,23155.03
World,2014,9.73,85.97,544.73,23747.07
World,2015,10.0,85.69,533.38,24002.35
World,2016,10.43,85.28,525.3,24694.51
World,2017,10.79,85.0,522.04,25441.04
World,2018,11.2,84.62,518.51,26464.49
World,2019,11.65,84.09,505.75,26832.42
World,2020,12.78,82.98,492.11,26723.37
World,2021,12.86,82.95,494.81,28259.07
World,2022,13.5,82.57,489.52,28917.76
World,2023,13.94,82.15,483.18,29665.34
World,2024,14.82,81.26,471.08,30930.23
