country,iso_code,year,primary_energy_consumption,electricity_demand,renewables_share_energy,fossil_share_energy,carbon_intensity_elec
China,CHN,2024,48987.1,10069.88,17.47,80.26,555.4
United States,USA,2024,26528.61,4404.83,12.05,80.33,383.78
India,IND,2024,11336.06,2034.22,9.15,89.67,705.4
Russia,RUS,2024,9049.15,1192.91,6.0,88.16,445.98
Japan,JPN,2024,4794.82,1016.39,12.7,82.95,483.43
Brazil,BRA,2024,3919.05,757.31,49.62,49.38,106.06
Canada,CAN,2024,3886.2,624.36,27.16,67.39,185.35
South Korea,KOR,2024,3616.22,625.38,4.75,82.47,415.51
Iran,IRN,2024,3589.79,393.39,1.43,98.07,648.68
Saudi Arabia,SAU,2024,3290.42,454.59,0.73,99.27,691.95
Germany,DEU,2024,3195.44,522.26,23.97,76.03,336.38
Indonesia,IDN,2024,2984.73,372.5,10.95,89.05,680.25
France,FRA,2024,2519.9,471.8,16.47,46.14,40.48
Mexico,MEX,2024,2310.19,354.87,8.25,90.44,483.14
Turkey,TUR,2024,2093.06,340.24,19.79,80.21,469.74
