country,iso_code,year,primary_energy_consumption,electricity_demand,renewables_share_energy,fossil_share_energy,carbon_intensity_elec
Norway,NOR,2024,555.63,138.67,71.81,28.19,29.66
Sweden,SWE,2024,610.0,138.71,51.32,27.79,34.91
Brazil,BRA,2024,3919.05,757.31,49.62,49.38,106.06
Austria,AUT,2024,412.34,71.69,43.35,56.65,103.48
New Zealand,NZL,2024,233.12,44.01,42.55,57.45,112.02
Denmark,DNK,2024,196.25,38.77,41.72,58.28,131.77
Switzerland,CHE,2024,339.27,63.97,39.87,43.17,34.58
Portugal,PRT,2024,270.24,57.74,39.74,60.26,110.64
Finland,FIN,2024,334.59,85.73,38.89,36.77,66.63
Chile,CHL,2024,518.73,88.62,32.25,67.75,259.87
Croatia,HRV,2024,103.14,19.65,27.78,72.22,170.7
Canada,CAN,2024,3886.2,624.36,27.16,67.39,185.35
Peru,PER,2024,374.39,59.32,26.66,73.34,258.73
Colombia,COL,2024,615.89,89.14,26.09,73.91,298.3
Spain,ESP,2024,1624.25,270.71,25.86,65.8,146.22
